task_id,employee_id,project_id,task_name,task_type,complexity,priority,status,story_points,estimated_hours,actual_hours,progress_percent,start_date,end_date,sprint_no,bug_count,dependency_task_id,remarks,task_domain,required_skill_context
T002500,E00409,P00061,Define release scope,Testing,Low,High,In Progress,2,12,9,21,2023-01-26,2023-02-06,1,3,NONE,Support handoff required,Quality/Security,Data Analysis
T002501,E00307,P00264,Migrate user mailboxes,User Story,Medium,Medium,Blocked,7,28,16,51,2026-03-16,2026-03-29,3,4,NONE,Cross-team dependency,Backend,SQL
T002502,E00275,P00719,Investigate suspicious login events,Documentation,High,Medium,To Do,13,143,128,0,2025-12-01,2025-12-10,5,5,NONE,Automation opportunity,DevOps/Cloud,Cybersecurity; DevOps
T002503,E00310,P00839,Optimize search endpoint,Testing,High,Medium,In Progress,13,117,70,73,2025-11-09,2025-11-30,4,2,NONE,Cross-team dependency,Quality/Security,Django
T002504,E00047,P00549,Train churn prediction model,Documentation,Medium,Low,To Do,4,24,22,0,2025-11-01,2025-11-11,7,2,NONE,High visibility,DevOps/Cloud,Machine Learning
T002505,E00028,P00279,Model conversion funnel metrics,User Story,Low,Medium,To Do,1,11,12,0,2025-10-22,2025-11-04,7,2,NONE,Client-facing deliverable,Backend,PostgreSQL
T002506,E00143,P00622,Provision staging cluster,Deployment,Low,High,To Do,2,20,14,0,2024-10-20,2024-10-26,1,4,T000054,Support handoff required,DevOps/Cloud,Docker; Azure; Kubernetes
T002507,E00246,P00519,Automate backup policy,Bug Fix,High,High,In Progress,9,72,88,17,2026-03-09,2026-04-02,4,3,T000514,Internal improvement,Quality/Security,Go
T002508,E00170,P00700,Update resource forecast,Documentation,Medium,Medium,To Do,6,30,33,0,2024-03-01,2024-03-03,3,1,T000122,Performance critical,Data/AI,Git
T002509,E00319,P00475,Clean transaction dataset,Testing,Low,Medium,In Progress,2,14,11,16,2024-11-27,2024-12-03,9,5,T000449,Needs stakeholder sign-off,Quality/Security,PostgreSQL
T002510,E00041,P00228,Provision staging cluster,Bug Fix,Low,Critical,Done,3,27,26,100,2023-07-26,2023-08-10,5,4,T002157,Security-sensitive,Quality/Security,Azure
T002511,E00334,P00092,Refactor billing service,User Story,Low,Low,In Progress,1,8,10,72,2026-04-26,2026-05-01,2,5,NONE,Support handoff required,Backend,Laravel
T002512,E00083,P00887,Train churn prediction model,Deployment,Medium,Medium,In Review,4,28,32,90,2024-06-14,2024-06-24,7,5,NONE,Automation opportunity,DevOps/Cloud,AWS
T002513,E00028,P00615,Conduct access review,Documentation,Medium,Critical,Done,6,24,24,100,2024-10-28,2024-11-02,3,0,NONE,Performance critical,DevOps/Cloud,DevOps
T002514,E00238,P00619,Clean transaction dataset,Code Review,High,Medium,In Progress,11,110,104,33,2025-01-02,2025-01-11,4,2,NONE,Client-facing deliverable,Backend,SQL
T002515,E00220,P00755,Clean transaction dataset,Deployment,Medium,Medium,In Progress,5,60,61,49,2026-03-22,2026-03-28,11,5,T000334,Client-facing deliverable,DevOps/Cloud,Data Analysis
T002516,E00446,P00019,Test API contract changes,Design,Medium,High,Done,4,24,21,100,2026-04-13,2026-04-23,2,3,NONE,Performance critical,DevOps/Cloud,Testing
T002517,E00128,P00313,Migrate user mailboxes,User Story,High,Medium,To Do,13,156,83,0,2025-04-30,2025-05-16,5,3,NONE,Security-sensitive,Backend,SQL
T002518,E00262,P00092,Build order management API,Bug Fix,Low,Medium,Blocked,1,12,13,66,2026-04-26,2026-05-06,1,5,NONE,Needs stakeholder sign-off,Quality/Security,Laravel
T002519,E00499,P00572,Validate feature pipeline,Documentation,High,High,In Progress,8,48,49,79,2023-09-24,2023-10-05,2,4,NONE,Performance critical,Backend,PostgreSQL; Machine Learning; Docker
T002520,E00260,P00463,Conduct access review,Feature Development,Medium,High,Done,4,32,34,100,2026-04-28,2026-02-19,2,4,NONE,Support handoff required,Backend,DevOps; Git; Cybersecurity
T002521,E00189,P00087,Prepare endpoint compliance report,Deployment,Low,Medium,In Review,2,12,11,97,2025-08-03,2025-08-14,2,1,NONE,Automation opportunity,DevOps/Cloud,Git; Linux
T002522,E00091,P00339,Implement authentication flow,Documentation,Low,High,To Do,1,10,8,0,2025-08-05,2025-08-19,1,5,NONE,Security-sensitive,Backend,Django
T002523,E00466,P00528,Model conversion funnel metrics,User Story,High,Medium,In Progress,11,55,52,59,2024-05-02,2024-05-13,8,5,NONE,Automation opportunity,Backend,MongoDB
T002524,E00139,P00208,Create responsive dashboard mockups,Testing,High,Medium,Done,9,45,29,100,2024-11-19,2024-12-19,8,1,NONE,Support handoff required,Quality/Security,React
T002525,E00106,P00238,Deploy forecasting workflow,User Story,Low,Critical,Done,2,14,21,100,2024-03-05,2024-03-15,7,5,T002277,High visibility,Backend,Python
T002526,E00007,P00052,Audit accessibility gaps,Code Review,Medium,Medium,To Do,3,36,26,0,2023-08-23,2023-08-31,1,4,T001429,Security-sensitive,Backend,Git
T002527,E00065,P00645,Refactor billing service,Deployment,High,Low,Done,9,36,27,100,2025-06-11,2025-07-09,12,2,NONE,Client-facing deliverable,DevOps/Cloud,Rust
T002528,E00014,P00684,Analyze user feedback trends,Code Review,Medium,High,In Progress,5,40,36,28,2024-09-10,2024-09-13,7,0,NONE,Requires approval,Backend,SQL
T002529,E00166,P00626,Set up secret rotation,Design,Low,Medium,Done,2,18,23,100,2026-01-26,2026-02-04,8,1,NONE,Performance critical,DevOps/Cloud,Kubernetes; Cybersecurity; Git
T002530,E00015,P00830,Build executive KPI dashboard,Design,Medium,Medium,In Progress,8,96,96,54,2025-12-13,2025-12-22,2,3,NONE,Cross-team dependency,Backend,Data Science; PostgreSQL; MongoDB
T002531,E00144,P00770,Refactor billing service,Code Review,Medium,Medium,Blocked,8,72,30,32,2024-08-14,2024-08-19,4,0,NONE,Security-sensitive,Backend,Node.js
T002532,E00221,P00091,Validate release candidate,Research,High,Critical,Blocked,8,32,31,21,2026-01-16,2026-01-18,1,0,T001379,Security-sensitive,Data/AI,Git; Java
T002533,E00020,P00879,Refine mobile navigation flow,Code Review,Low,Medium,To Do,2,14,16,0,2024-03-25,2024-04-08,1,5,NONE,Internal improvement,Backend,JavaScript
T002534,E00200,P00213,Track milestone risks,Documentation,Low,High,In Review,3,18,20,78,2023-03-18,2023-03-29,2,1,T000420,Internal improvement,Backend,Data Analysis
T002535,E00280,P00683,Model conversion funnel metrics,Deployment,High,Medium,Done,13,52,60,100,2024-12-23,2024-12-25,2,2,NONE,Security-sensitive,DevOps/Cloud,SQL; MongoDB; PostgreSQL
T002536,E00039,P00382,Analyze user feedback trends,Feature Development,Low,High,Blocked,3,24,29,8,2023-08-12,2023-08-22,5,1,NONE,Needs stakeholder sign-off,Backend,SQL
T002537,E00269,P00743,Tune recommendation algorithm,Deployment,Low,Medium,In Review,1,7,10,80,2023-09-23,2023-09-28,3,5,NONE,Requires approval,DevOps/Cloud,Deep Learning
T002538,E00019,P00631,Migrate user mailboxes,Deployment,Medium,High,Done,7,35,29,100,2024-03-02,2024-03-16,3,5,NONE,High visibility,DevOps/Cloud,Git
T002539,E00231,P00446,Model conversion funnel metrics,Bug Fix,High,Medium,Done,13,143,194,100,2025-11-04,2025-11-14,7,2,T000928,Automation opportunity,Quality/Security,Python
T002540,E00050,P00763,Write regression test suite,Feature Development,Low,High,In Progress,3,33,35,41,2025-11-05,2025-11-11,6,1,T000358,High visibility,Backend,Python
T002541,E00091,P00890,Build order management API,User Story,High,Medium,In Review,13,104,115,89,2024-07-20,2024-08-08,11,0,T001661,Internal improvement,Backend,Python; Spring Boot
T002542,E00379,P00157,Build order management API,Documentation,Medium,Low,In Review,6,24,15,76,2024-01-30,2024-02-07,3,4,T001396,Client-facing deliverable,Backend,Rust; Java
T002543,E00069,P00840,Track milestone risks,Bug Fix,Low,High,In Progress,1,12,11,84,2024-10-03,2024-10-06,21,0,NONE,Client-facing deliverable,Quality/Security,SQL
T002544,E00210,P00492,Configure observability alerts,Feature Development,Low,Medium,In Progress,2,22,18,20,2024-10-10,2024-10-21,3,3,NONE,Performance critical,Backend,Kubernetes
T002545,E00251,P00084,Create weekly operations report,Feature Development,Medium,High,In Progress,8,80,94,39,2023-10-04,2023-10-16,19,5,NONE,Security-sensitive,Backend,Python
T002546,E00357,P00212,Document vendor onboarding process,User Story,Low,Medium,To Do,2,18,22,0,2025-07-14,2025-07-18,9,1,NONE,Requires approval,Backend,SQL
T002547,E00383,P00831,Audit admin access requests,Testing,Low,Low,In Progress,1,10,5,44,2026-02-20,2026-02-22,3,2,T001952,Internal improvement,Quality/Security,Azure
T002548,E00028,P00452,Audit accessibility gaps,Documentation,Low,Low,Done,2,8,7,100,2023-12-12,2023-12-20,6,1,NONE,Client-facing deliverable,Frontend,JavaScript; Git
T002549,E00140,P00009,Clean transaction dataset,Testing,Medium,High,In Review,7,28,34,83,2023-06-27,2023-07-06,2,2,NONE,Support handoff required,Quality/Security,PostgreSQL
T002550,E00356,P00086,Document partner workflow,Documentation,High,High,In Review,10,50,47,83,2025-01-16,2025-02-09,6,3,NONE,Performance critical,Backend,Git; SQL
T002551,E00311,P00681,Automate checkout test cases,Bug Fix,High,High,Done,11,99,114,100,2025-12-09,2025-12-17,2,5,T001310,Cross-team dependency,Quality/Security,Java
T002552,E00409,P00683,Validate revenue attribution logic,User Story,High,Medium,In Progress,13,91,98,78,2024-11-04,2024-11-20,3,2,T000821,Cross-team dependency,Backend,PostgreSQL; SQL; MongoDB
T002553,E00291,P00425,Prioritize sprint backlog,Bug Fix,Medium,Medium,In Progress,8,88,94,56,2026-02-20,2026-03-07,1,1,NONE,Internal improvement,Quality/Security,SQL
T002554,E00003,P00839,Build order management API,Documentation,Low,Low,In Review,3,12,11,76,2026-01-20,2026-01-28,5,4,NONE,Performance critical,Backend,Django
T002555,E00152,P00657,Draft product requirements,Design,Medium,Medium,In Review,3,24,17,82,2026-02-22,2026-03-06,3,2,NONE,Support handoff required,Backend,UI/UX Design; SQL
T002556,E00106,P00015,Develop customer onboarding screen,Testing,Low,Critical,In Review,1,9,6,79,2025-11-11,2025-11-25,1,1,NONE,Performance critical,Quality/Security,Spring Boot
T002557,E00365,P00395,Document partner workflow,Testing,Medium,Medium,To Do,5,60,69,0,2025-12-07,2025-12-21,1,3,NONE,Needs stakeholder sign-off,Quality/Security,SQL
T002558,E00123,P00432,Investigate suspicious login events,Feature Development,Low,Low,Done,1,7,7,100,2024-09-25,2024-09-30,3,3,NONE,Internal improvement,Backend,Linux
T002559,E00153,P00505,Test API contract changes,Analysis,High,Medium,Done,13,156,151,100,2024-05-13,2024-05-18,11,3,NONE,Needs stakeholder sign-off,Data/AI,Testing
T002560,E00300,P00638,Roll out device encryption policy,Code Review,Medium,Medium,In Review,5,20,18,84,2026-03-21,2026-04-01,3,0,NONE,Client-facing deliverable,Backend,Cybersecurity; Linux
T002561,E00422,P00704,Define release scope,Bug Fix,Medium,High,To Do,8,64,59,0,2025-03-20,2025-04-04,5,4,NONE,Support handoff required,Quality/Security,Data Analysis
T002562,E00357,P00381,Review IAM policy changes,Testing,Medium,Low,Done,8,80,98,100,2025-08-12,2025-08-23,9,0,NONE,Security-sensitive,Quality/Security,Azure
T002563,E00287,P00657,Draft product requirements,Analysis,Low,Medium,In Review,3,15,13,92,2026-02-18,2026-03-03,2,5,NONE,Internal improvement,Data/AI,Data Analysis
T002564,E00125,P00190,Document vendor onboarding process,Code Review,Low,Low,To Do,1,11,7,0,2023-08-19,2023-08-23,13,5,NONE,Cross-team dependency,Backend,SQL
T002565,E00270,P00634,Validate feature pipeline,Analysis,High,Medium,To Do,9,63,73,0,2025-06-12,2025-06-16,15,5,NONE,High visibility,Data/AI,PostgreSQL
T002566,E00143,P00759,Implement authentication flow,Documentation,High,Medium,Done,13,130,124,100,2026-03-25,2026-04-22,1,0,NONE,Client-facing deliverable,Backend,Git; Angular
T002567,E00041,P00030,Review IAM policy changes,Design,High,Critical,In Review,12,132,132,80,2023-11-16,2023-12-03,12,0,NONE,Internal improvement,DevOps/Cloud,Linux; AWS; Azure
T002568,E00034,P00297,Validate release candidate,Feature Development,High,High,To Do,12,60,81,0,2025-03-14,2025-03-19,2,4,NONE,Requires approval,Backend,Java
T002569,E00034,P00240,Create weekly operations report,Documentation,Low,Low,Done,1,11,10,100,2023-07-17,2023-07-21,2,5,NONE,High visibility,Backend,Data Science; MongoDB; Git
T002570,E00391,P00410,Draft product requirements,Documentation,High,High,In Progress,11,132,140,59,2024-07-31,2024-08-07,2,5,NONE,Performance critical,Backend,SQL
T002571,E00103,P00265,Integrate payment gateway,Code Review,Low,High,In Review,3,12,8,95,2025-04-30,2025-05-15,8,2,T000641,Performance critical,Backend,PostgreSQL
T002572,E00122,P00233,Train churn prediction model,Design,Medium,High,To Do,3,24,22,0,2026-02-11,2026-02-20,1,1,T001025,Cross-team dependency,Data/AI,Data Science; Docker
T002573,E00033,P00750,Reproduce production defect,Feature Development,Low,Low,To Do,1,10,11,0,2025-11-19,2025-11-22,1,0,T000407,High visibility,Backend,Python
T002574,E00046,P00226,Conduct access review,Bug Fix,High,High,To Do,11,66,43,0,2025-10-17,2025-10-20,12,1,NONE,Client-facing deliverable,Quality/Security,DevOps; Docker
T002575,E00516,P00529,Configure observability alerts,Deployment,Medium,High,In Progress,3,27,28,38,2023-11-01,2023-11-12,19,2,T002141,Requires approval,DevOps/Cloud,Azure
T002576,E00216,P00363,Document vendor onboarding process,Design,Low,Medium,In Progress,3,21,21,39,2026-03-07,2026-02-23,1,1,NONE,Internal improvement,DevOps/Cloud,Data Analysis; SQL; Linux
T002577,E00182,P00066,Prepare endpoint compliance report,Deployment,Low,Medium,Done,3,36,36,100,2024-08-04,2024-08-11,16,1,NONE,Performance critical,DevOps/Cloud,Git
T002578,E00314,P00205,Update resource forecast,Analysis,Medium,Medium,Blocked,6,30,27,11,2025-07-07,2025-07-18,2,4,NONE,Requires approval,Data/AI,Linux
T002579,E00333,P00170,Implement authentication flow,Research,Low,Medium,In Progress,2,8,8,26,2025-07-25,2025-07-29,1,5,NONE,Automation opportunity,Data/AI,SQL
T002580,E00358,P00504,Roll out device encryption policy,Feature Development,High,Medium,To Do,9,54,71,0,2023-06-30,2023-07-27,12,0,NONE,Needs stakeholder sign-off,Backend,Cybersecurity; AWS
T002581,E00234,P00695,Implement authentication flow,Design,Medium,Medium,In Progress,7,42,32,55,2023-07-14,2023-07-18,9,3,NONE,Cross-team dependency,Backend,PostgreSQL; Laravel
T002582,E00393,P00612,Create weekly operations report,Documentation,Low,Medium,To Do,1,7,7,0,2023-12-04,2023-12-08,6,5,NONE,Cross-team dependency,Backend,Data Science; PostgreSQL
T002583,E00224,P00232,Prepare endpoint compliance report,Documentation,Low,Critical,In Review,3,18,18,81,2023-09-30,2023-10-08,2,0,T000259,Cross-team dependency,DevOps/Cloud,Azure
T002584,E00186,P00282,Build order management API,Bug Fix,High,High,To Do,13,104,79,0,2023-03-10,2023-03-24,2,3,NONE,Performance critical,Quality/Security,Python
T002585,E00064,P00227,Update design system components,Testing,Medium,Low,In Progress,8,32,38,84,2026-02-27,2026-03-01,2,3,T000242,Security-sensitive,Quality/Security,React; UI/UX Design
T002586,E00669,P00387,Investigate suspicious login events,Documentation,Medium,Medium,In Review,4,36,54,79,2024-02-10,2024-02-13,5,4,NONE,Needs stakeholder sign-off,DevOps/Cloud,Azure
T002587,E00557,P00065,Refine mobile navigation flow,Analysis,Low,Low,In Progress,1,4,3,44,2024-12-27,2025-01-06,6,0,NONE,High visibility,Data/AI,React
T002588,E00186,P00151,Document partner workflow,User Story,Low,Medium,In Progress,2,24,26,44,2025-09-27,2025-10-02,2,5,NONE,Needs stakeholder sign-off,Backend,SQL
T002589,E00167,P00470,Define release scope,Code Review,Medium,Medium,In Review,4,16,16,77,2023-04-18,2023-04-23,1,4,NONE,Requires approval,Backend,Git; Data Analysis; UI/UX Design
T002590,E00050,P00293,Design checkout journey,Analysis,Low,Medium,In Progress,2,14,11,70,2024-04-21,2024-05-04,4,2,NONE,Internal improvement,Data/AI,UI/UX Design; Git
T002591,E00495,P00018,Automate checkout test cases,Feature Development,Low,High,In Review,2,24,14,92,2025-03-27,2025-04-08,11,4,NONE,Internal improvement,Backend,Python
T002592,E00053,P00047,Prioritize sprint backlog,Analysis,Low,High,To Do,3,30,25,0,2024-11-13,2024-11-28,2,5,NONE,Internal improvement,Data/AI,Data Analysis
T002593,E00282,P00516,Create weekly operations report,Deployment,Medium,Medium,To Do,6,42,29,0,2024-05-30,2024-06-11,1,0,NONE,Needs stakeholder sign-off,DevOps/Cloud,Git
T002594,E00009,P00042,Model conversion funnel metrics,Bug Fix,Low,High,In Review,2,16,21,77,2024-08-25,2024-09-04,3,1,NONE,Cross-team dependency,Quality/Security,MongoDB
T002595,E00257,P00623,Audit accessibility gaps,Bug Fix,Medium,Critical,In Progress,8,32,31,59,2024-01-22,2024-01-29,4,1,NONE,Client-facing deliverable,Quality/Security,React; JavaScript
T002596,E00273,P00470,Prioritize sprint backlog,User Story,Medium,High,In Progress,8,32,29,15,2023-10-03,2023-10-10,9,3,NONE,Security-sensitive,Backend,UI/UX Design; Data Analysis
T002597,E00343,P00148,Review IAM policy changes,Code Review,Low,High,In Progress,2,22,26,24,2024-05-19,2024-06-02,7,1,T001728,Performance critical,Backend,Git; Cybersecurity; Linux
T002598,E00377,P00547,Automate backup policy,Research,Medium,Low,Done,3,36,27,100,2024-08-10,2024-08-12,12,4,NONE,Security-sensitive,Data/AI,Cybersecurity
T002599,E00029,P00552,Validate revenue attribution logic,Deployment,Low,High,In Progress,3,33,27,19,2025-10-25,2025-11-05,1,5,NONE,Support handoff required,DevOps/Cloud,Git
T002600,E00269,P00852,Validate feature pipeline,Feature Development,Low,Medium,In Review,1,4,4,78,2025-08-14,2025-08-16,7,5,NONE,Needs stakeholder sign-off,Backend,PostgreSQL
T002601,E00436,P00329,Set up secret rotation,Code Review,Low,High,Blocked,1,5,4,37,2023-12-21,2024-01-05,10,0,NONE,Security-sensitive,Backend,Go
T002602,E00090,P00898,Train churn prediction model,Deployment,Low,Low,Done,1,8,8,100,2024-04-24,2024-05-01,5,2,T000996,Performance critical,DevOps/Cloud,Git
T002603,E00049,P00819,Prioritize sprint backlog,Analysis,Low,Medium,To Do,3,15,15,0,2025-10-20,2025-10-26,3,2,NONE,Requires approval,Data/AI,UI/UX Design; SQL
T002604,E00236,P00331,Review IAM policy changes,Feature Development,Low,Low,In Review,3,30,30,88,2024-09-25,2024-09-29,3,1,NONE,Internal improvement,Backend,Cybersecurity; Kubernetes
T002605,E00222,P00545,Integrate payment gateway,Bug Fix,Low,Medium,To Do,2,16,17,0,2024-11-13,2024-11-26,19,0,NONE,High visibility,Quality/Security,Rust
T002606,E00270,P00146,Validate feature pipeline,Analysis,Low,Medium,In Progress,3,12,12,16,2024-09-02,2024-09-07,8,2,NONE,Support handoff required,Data/AI,Machine Learning; Data Science; Deep Learning
T002607,E00167,P00191,Create weekly operations report,Code Review,High,Medium,In Progress,12,144,111,78,2025-09-10,2025-09-30,4,1,NONE,Support handoff required,Backend,PostgreSQL
T002608,E00281,P00677,Roll out device encryption policy,Research,High,Low,In Review,9,36,36,76,2025-01-15,2025-02-10,10,4,NONE,Needs stakeholder sign-off,Data/AI,Cybersecurity; Linux
T002609,E00333,P00088,Deploy forecasting workflow,Deployment,Medium,Low,In Review,8,40,30,75,2025-05-01,2025-05-11,17,4,T002122,Client-facing deliverable,DevOps/Cloud,AWS
T002610,E00195,P00418,Test API contract changes,Documentation,Low,High,To Do,3,18,18,0,2023-01-27,2023-02-06,1,3,T001870,Internal improvement,DevOps/Cloud,Automation Testing
T002611,E00107,P00554,Optimize search endpoint,Code Review,Medium,High,In Progress,5,50,44,27,2024-09-05,2024-09-19,2,1,NONE,Security-sensitive,Backend,Java
T002612,E00152,P00225,Automate backup policy,Design,High,High,In Progress,13,104,162,52,2026-03-21,2026-04-08,7,4,NONE,Support handoff required,DevOps/Cloud,Azure; Cybersecurity; Kubernetes
T002613,E00235,P00075,Refine mobile navigation flow,Bug Fix,High,Low,To Do,13,117,115,0,2026-04-27,2026-05-26,1,4,NONE,High visibility,Quality/Security,JavaScript
T002614,E00253,P00809,Design checkout journey,Bug Fix,Low,Medium,In Progress,1,4,2,15,2025-01-11,2025-01-25,3,1,NONE,Requires approval,Quality/Security,UI/UX Design
T002615,E00011,P00282,Optimize search endpoint,Feature Development,Low,Low,To Do,3,18,17,0,2023-10-05,2023-10-20,7,5,T002225,Automation opportunity,Backend,Python
T002616,E00096,P00855,Define release scope,Code Review,Low,Critical,In Progress,1,12,13,46,2026-03-03,2026-03-17,13,1,NONE,High visibility,Backend,SQL
T002617,E00096,P00313,Prepare endpoint compliance report,Code Review,Medium,Medium,To Do,7,28,38,0,2025-06-28,2025-07-09,4,3,T001720,Automation opportunity,Backend,SQL
T002618,E00147,P00188,Build executive KPI dashboard,Analysis,Low,High,To Do,3,18,15,0,2025-10-30,2025-11-07,2,1,NONE,Automation opportunity,Data/AI,SQL
T002619,E00044,P00265,Refactor billing service,Design,Medium,Medium,In Progress,7,42,27,71,2025-07-26,2025-08-10,14,4,T000834,Support handoff required,Frontend,JavaScript; Angular
T002620,E00023,P00563,Create weekly operations report,Deployment,High,Medium,Blocked,9,54,47,38,2023-08-24,2023-08-27,2,1,NONE,Client-facing deliverable,DevOps/Cloud,MongoDB; SQL
T002621,E00622,P00342,Update design system components,Analysis,Medium,High,In Review,7,63,43,85,2026-03-23,2026-03-25,1,1,T000590,Internal improvement,Data/AI,React
T002622,E00325,P00426,Upgrade CI pipeline,Testing,Low,Medium,In Review,2,16,14,92,2023-08-14,2023-08-21,5,4,T001305,Automation opportunity,Quality/Security,Cybersecurity
T002623,E00096,P00604,Patch vulnerable dependency,Code Review,Medium,Low,Done,7,42,39,100,2023-11-29,2023-12-02,9,1,NONE,Client-facing deliverable,Backend,Cybersecurity
T002624,E00124,P00672,Validate revenue attribution logic,Analysis,Low,Medium,Done,1,8,7,100,2025-10-28,2025-10-30,2,1,T000788,Needs stakeholder sign-off,Data/AI,Data Science
T002625,E00259,P00651,Reproduce production defect,Deployment,Medium,Medium,In Progress,5,25,28,30,2026-02-27,2026-03-03,10,4,NONE,Client-facing deliverable,DevOps/Cloud,Git
T002626,E00163,P00657,Define release scope,User Story,Medium,Medium,To Do,8,40,33,0,2026-03-13,2026-03-22,3,2,T000587,Support handoff required,Backend,SQL
T002627,E00330,P00900,Optimize search endpoint,Documentation,Medium,High,To Do,7,56,52,0,2025-12-31,2026-01-08,1,5,T000704,Security-sensitive,Frontend,JavaScript; Angular
T002628,E00540,P00653,Optimize search endpoint,Testing,High,High,To Do,9,99,98,0,2026-02-28,2026-03-20,2,4,NONE,Support handoff required,Quality/Security,Rust
T002629,E00110,P00326,Build executive KPI dashboard,Code Review,Medium,Medium,In Review,5,40,41,76,2026-04-21,2026-04-29,2,0,NONE,Performance critical,Backend,SQL; PostgreSQL
T002630,E00083,P00433,Model conversion funnel metrics,Documentation,Medium,Low,Done,3,18,18,100,2024-10-14,2024-10-19,1,4,NONE,Client-facing deliverable,Backend,Git; Python
T002631,E00431,P00681,Test API contract changes,Testing,Low,Critical,Done,3,33,36,100,2026-01-22,2026-02-06,3,4,NONE,Client-facing deliverable,Quality/Security,Java
T002632,E00127,P00037,Refactor billing service,Deployment,Low,Critical,In Progress,2,18,21,21,2025-09-22,2025-09-25,1,5,NONE,Needs stakeholder sign-off,DevOps/Cloud,Angular
T002633,E00112,P00609,Resolve SSO incident,User Story,Medium,Low,In Review,4,16,17,89,2023-03-19,2023-04-01,3,4,T000274,Automation opportunity,Backend,SQL
T002634,E00140,P00557,Resolve SSO incident,Code Review,Medium,Critical,To Do,6,60,65,0,2026-03-12,2026-03-18,1,4,T000734,Requires approval,Backend,SQL
T002635,E00048,P00866,Investigate suspicious login events,Feature Development,Low,Medium,In Progress,1,12,7,40,2024-11-13,2024-11-16,6,2,NONE,Requires approval,Backend,Cybersecurity; Docker; Linux
T002636,E00078,P00340,Roll out device encryption policy,Design,Medium,Medium,Done,6,72,72,100,2025-01-10,2025-01-13,9,4,NONE,High visibility,DevOps/Cloud,Git; SQL
T002637,E00074,P00402,Implement MFA enforcement,Bug Fix,Low,High,In Review,3,27,29,81,2026-03-25,2026-04-08,2,2,NONE,High visibility,Quality/Security,Cybersecurity
T002638,E00391,P00796,Draft product requirements,User Story,Medium,Medium,Done,8,64,74,100,2025-09-04,2025-09-10,6,5,NONE,Automation opportunity,Backend,SQL
T002639,E00056,P00315,Analyze user feedback trends,User Story,Medium,High,Blocked,6,30,16,23,2026-03-17,2026-03-19,2,4,NONE,Security-sensitive,Backend,UI/UX Design
T002640,E00179,P00785,Migrate user mailboxes,Bug Fix,Low,Medium,Done,3,36,30,100,2025-08-14,2025-08-29,7,3,NONE,Cross-team dependency,Quality/Security,SQL
T002641,E00214,P00034,Create weekly operations report,Research,Medium,Medium,Done,3,33,28,100,2023-12-11,2023-12-16,3,3,T001532,High visibility,Data/AI,Data Science
T002642,E00173,P00237,Integrate payment gateway,Analysis,Medium,Medium,Done,5,30,33,100,2025-06-15,2025-06-27,9,4,NONE,High visibility,Data/AI,React
T002643,E00025,P00694,Document partner workflow,Bug Fix,High,Low,Done,9,108,132,100,2024-02-26,2024-03-05,3,2,NONE,Performance critical,Quality/Security,SQL
T002644,E00054,P00867,Prepare project governance pack,Deployment,Medium,High,In Review,7,56,50,92,2024-07-25,2024-08-06,9,2,NONE,Security-sensitive,DevOps/Cloud,Linux
T002645,E00046,P00754,Document partner workflow,Code Review,Medium,Medium,Done,4,36,43,100,2025-06-10,2025-06-22,2,2,NONE,Client-facing deliverable,Backend,Git
T002646,E00225,P00108,Refactor billing service,User Story,Medium,Low,In Progress,5,25,25,40,2025-04-12,2025-04-18,3,0,T001761,High visibility,Backend,Node.js; PHP
T002647,E00052,P00881,Integrate payment gateway,User Story,Medium,Critical,Done,4,48,46,100,2023-12-17,2023-12-21,13,3,NONE,Support handoff required,Backend,Go
T002648,E00083,P00318,Build order management API,Feature Development,Medium,Low,Done,5,40,38,100,2024-06-16,2024-06-20,19,1,NONE,Needs stakeholder sign-off,Backend,Python
T002649,E00044,P00285,Update resource forecast,User Story,Medium,Medium,Done,8,32,37,100,2023-03-11,2023-03-18,3,4,NONE,Cross-team dependency,Backend,SQL
T002650,E00318,P00163,Refactor billing service,Bug Fix,Medium,Low,In Review,8,72,77,98,2024-10-10,2024-10-22,1,3,NONE,Internal improvement,Quality/Security,Django; PostgreSQL
T002651,E00012,P00363,Track milestone risks,Feature Development,Medium,Medium,Done,8,72,108,100,2026-03-07,2026-02-23,1,4,NONE,Requires approval,Backend,SQL
T002652,E00523,P00891,Validate revenue attribution logic,User Story,Medium,Medium,In Progress,5,40,32,40,2023-08-17,2023-08-19,1,0,NONE,Cross-team dependency,Backend,PostgreSQL
T002653,E00076,P00737,Draft product requirements,Documentation,High,High,In Review,12,96,106,97,2024-10-13,2024-10-29,1,4,NONE,Automation opportunity,Backend,Data Analysis
T002654,E00027,P00578,Harden Kubernetes ingress,Design,High,High,Done,12,48,42,100,2026-03-05,2026-04-02,3,4,NONE,Requires approval,DevOps/Cloud,Docker; AWS; Go
T002655,E00231,P00612,Model conversion funnel metrics,Code Review,Low,High,In Progress,3,12,9,48,2023-08-23,2023-09-03,2,4,NONE,Cross-team dependency,Backend,SQL
T002656,E00102,P00199,Build order management API,Analysis,Low,Medium,Done,3,24,23,100,2026-03-11,2026-03-14,8,3,NONE,Cross-team dependency,Data/AI,Spring Boot; React; Java
T002657,E00421,P00837,Migrate user mailboxes,Research,Medium,Critical,In Review,3,27,27,90,2024-02-29,2024-03-05,3,5,NONE,Performance critical,Data/AI,Git
